customer_id,group
3,A
4,B
9,A
10,A
18,B
21,A
26,A
29,A
31,B
39,B
46,B
49,A
52,A
55,A
66,B
71,B
75,A
76,B
77,A
82,A
87,A
88,B
92,A
93,A
94,A
95,B
97,B
102,B
108,B
115,A
120,A
138,A
147,B
157,B
158,B
160,B
162,B
163,B
164,B
170,A
171,B
175,A
177,A
186,B
188,A
189,A
194,B
197,B
200,A
201,B
205,B
208,B
211,A
212,A
213,A
215,A
218,B
219,A
221,B
222,B
230,A
233,B
236,A
239,A
256,A
258,A
259,A
261,B
266,B
267,B
268,B
278,B
279,A
285,B
288,B
290,B
296,B
297,A
299,A
302,A
303,A
304,B
305,A
316,B
321,B
322,B
323,A
326,B
327,B
328,A
332,B
338,A
346,B
347,B
350,B
353,A
356,B
358,B
360,B
362,A
364,A
374,A
382,B
383,A
385,A
389,A
394,B
399,B
400,B
414,A
415,B
419,B
420,B
426,A
432,B
433,A
436,A
439,A
448,B
451,A
452,A
462,A
463,B
464,B
475,B
478,B
480,B
481,B
482,B
484,A
485,B
492,A
497,A
501,B
502,A
505,B
510,A
511,B
521,A
534,B
535,B
542,B
544,A
545,A
548,B
550,B
553,B
554,A
559,B
560,B
561,A
566,A
572,B
574,A
585,B
592,A
597,B
610,A
613,A
620,A
625,B
628,A
631,B
634,B
637,A
647,B
648,A
652,A
653,B
654,A
659,B
660,A
663,B
674,A
684,B
686,B
687,B
689,A
696,A
698,A
701,A
710,A
711,A
712,B
720,A
724,A
725,B
733,B
734,A
743,B
748,A
750,B
753,B
757,A
758,B
764,B
766,A
767,A
778,B
779,B
780,A
781,A
782,A
787,B
792,B
794,B
798,B
799,A
801,B
803,A
804,A
806,A
817,B
825,A
829,A
839,A
840,B
842,B
850,A
852,B
859,B
861,B
863,A
866,A
873,B
877,A
878,B
882,A
887,A
891,B
895,B
904,B
911,A
913,A
915,A
919,A
928,B
929,A
934,B
940,B
942,A
943,A
950,B
951,A
952,A
960,A
962,A
967,B
969,B
971,B
973,A
977,A
980,B
982,B
985,B
987,A
992,A
994,B
1002,B
1004,A
1006,B
1007,A
1015,B
1018,B
1021,A
1032,B
1036,B
1038,B
1041,B
1044,B
1046,B
1052,B
1057,B
1060,A
1063,A
1066,B
1078,B
1081,A
1087,A
1092,A
1093,B
1099,B
1108,B
1109,B
1114,A
1115,B
1116,B
1125,B
1126,A
1131,B
1135,A
1140,B
1143,A
1144,B
1148,A
1151,A
1153,A
1154,A
1155,A
1156,A
1164,A
1171,B
1173,A
1175,A
1176,A
1177,B
1179,B
1180,A
1183,B
1187,B
1190,B
1192,B
1194,B
1199,B
1201,B
1206,B
1207,B
1215,A
1218,B
1219,A
1226,A
1235,B
1242,B
1243,A
1245,A
1246,A
1250,A
1255,A
1260,A
1269,B
1271,A
1273,B
1281,A
1282,A
1283,B
1293,A
