customer_id,assigned_persona,assign_rule
1,Thrifty,rule:thrifty
2,Shopper,rule:shopper
3,Thrifty,soft:Thrifty
4,Thrifty,soft:Thrifty
5,Commuter,rule:commuter_strict
6,Commuter,rule:commuter_strict
7,Commuter,rule:commuter_strict
8,Shopper,rule:shopper
9,Weekend,soft:Weekend
10,Thrifty,soft:Thrifty
11,Commuter,rule:commuter_strict
12,Shopper,rule:shopper
13,Shopper,soft:Shopper
14,Commuter,rule:commuter_strict
15,Commuter,rule:commuter_strict
16,Commuter,rule:commuter_strict
17,Thrifty,soft:Thrifty
18,Thrifty,soft:Thrifty
19,Thrifty,rule:thrifty
20,Thrifty,soft:Thrifty
21,Thrifty,soft:Thrifty
22,Commuter,rule:commuter_strict
23,Thrifty,rule:thrifty
24,Thrifty,soft:Thrifty
25,Thrifty,soft:Thrifty
26,Weekend,soft:Weekend
27,Commuter,rule:commuter_strict
28,Thrifty,rule:thrifty
29,Thrifty,soft:Thrifty
30,Commuter,rule:commuter_strict
31,Thrifty,soft:Thrifty
32,Commuter,rule:commuter_strict
33,Commuter,rule:commuter_strict
34,Shopper,rule:shopper
35,Shopper,rule:shopper
36,Shopper,rule:shopper
37,Thrifty,rule:thrifty
38,Commuter,rule:commuter_strict
39,Weekend,soft:Weekend
40,Thrifty,rule:thrifty
41,Commuter,rule:commuter_strict
42,Thrifty,soft:Thrifty
43,Commuter,rule:commuter_strict
44,Shopper,rule:shopper
45,Thrifty,rule:thrifty
46,Thrifty,soft:Thrifty
47,Thrifty,soft:Thrifty
48,Thrifty,rule:thrifty
49,Thrifty,soft:Thrifty
50,Commuter,rule:commuter_strict
51,Shopper,rule:shopper
52,Weekend,soft:Weekend
53,Shopper,rule:shopper
54,Shopper,rule:shopper
55,Thrifty,soft:Thrifty
56,Shopper,rule:shopper
57,Commuter,rule:commuter_strict
58,Commuter,rule:commuter_strict
59,Commuter,rule:commuter_strict
60,Thrifty,rule:thrifty
61,Thrifty,rule:thrifty
62,Thrifty,rule:thrifty
63,Shopper,rule:shopper
64,Thrifty,soft:Thrifty
65,Thrifty,soft:Thrifty
66,Shopper,soft:Shopper
67,Commuter,rule:commuter_strict
68,Shopper,rule:shopper
69,Commuter,rule:commuter_strict
70,Shopper,rule:shopper
71,Thrifty,soft:Thrifty
72,Commuter,rule:commuter_strict
73,Commuter,rule:commuter_strict
74,Shopper,rule:shopper
75,Thrifty,soft:Thrifty
76,Thrifty,soft:Thrifty
77,Thrifty,soft:Thrifty
78,Commuter,rule:commuter_strict
79,Thrifty,rule:thrifty
80,Commuter,rule:commuter_strict
81,Shopper,soft:Shopper
82,Weekend,soft:Weekend
83,Thrifty,rule:thrifty
84,Commuter,rule:commuter_strict
85,Thrifty,rule:thrifty
86,Thrifty,soft:Thrifty
87,Thrifty,soft:Thrifty
88,Thrifty,soft:Thrifty
89,Shopper,rule:shopper
90,Thrifty,rule:thrifty
91,Commuter,rule:commuter_strict
92,Thrifty,soft:Thrifty
93,Thrifty,soft:Thrifty
94,Thrifty,soft:Thrifty
95,Thrifty,soft:Thrifty
96,Thrifty,soft:Thrifty
97,Thrifty,soft:Thrifty
98,Thrifty,rule:thrifty
99,Commuter,rule:commuter_strict
100,Commuter,rule:commuter_strict
101,Commuter,rule:commuter_strict
102,Weekend,soft:Weekend
103,Thrifty,rule:thrifty
104,Thrifty,rule:thrifty
105,Shopper,rule:shopper
106,Commuter,rule:commuter_strict
107,Thrifty,rule:thrifty
108,Thrifty,soft:Thrifty
109,Commuter,rule:commuter_strict
110,Commuter,rule:commuter_strict
111,Thrifty,rule:thrifty
112,Commuter,rule:commuter_strict
113,Shopper,rule:shopper
114,Shopper,soft:Shopper
115,Thrifty,soft:Thrifty
116,Shopper,rule:shopper
117,Shopper,rule:shopper
118,Commuter,rule:commuter_strict
119,Shopper,soft:Shopper
120,Thrifty,soft:Thrifty
121,Shopper,rule:shopper
122,Shopper,soft:Shopper
123,Thrifty,rule:thrifty
124,Commuter,rule:commuter_strict
125,Commuter,rule:commuter_strict
126,Thrifty,rule:thrifty
127,Shopper,rule:shopper
128,Shopper,rule:shopper
129,Commuter,rule:commuter_strict
130,Thrifty,rule:thrifty
131,Thrifty,rule:thrifty
132,Commuter,rule:commuter_strict
133,Commuter,rule:commuter_strict
134,Thrifty,rule:thrifty
135,Shopper,rule:shopper
136,Thrifty,soft:Thrifty
137,Thrifty,rule:thrifty
138,Thrifty,soft:Thrifty
139,Thrifty,soft:Thrifty
140,Shopper,rule:shopper
